Sector,Lat,Long
Sector 1,28.366322,76.945582
Sector 2,28.365484,76.936938
Sector 3,28.490909,77.017583
Sector 4,28.473804,77.010676
Sector 5,28.479437,77.017583
Sector 6,28.375842,76.925413
Sector 7,28.464374,77.014294
Sector 8,28.373834,76.896972
Sector 9,28.460327,77.000009
Sector 10,28.453693,77.000932
Sector 11,28.453091,77.020175
Sector 12,28.472339,77.032044
Sector 13,28.475671,77.039197
Sector 14,28.471081,77.045414
Sector 15,28.462136,77.046372
Sector 17,28.479094,77.060845
Sector 21,28.513393,77.072276
Sector 22,28.507241,77.064049
Sector 23,28.512138,77.047756
Sector 24,28.493868,77.103779
Sector 25,28.484412,77.085998
Sector 26,28.47567,77.103152
Sector 27,28.465779,77.0917
Sector 28,28.472842,77.086461
Sector 30,28.460376,77.057885
Sector 31,28.45284,77.049798
Sector 33,28.442043,77.020654
Sector 36,28.415498,76.991439
Sector 37d,28.44784,76.97032
Sector 37,28.437517,76.999947
Sector 38,28.434699,77.043048
Sector 39,28.443383,77.051538
Sector 40,28.449849,77.056689
Sector 41,28.455679,77.063197
Sector 43,28.462917,77.077246
Sector 45,28.446591,77.065953
Sector 46,28.437437,77.058575
Sector 47,28.427553,77.049168
Sector 48,28.417696,77.035943
Sector 49,28.41212,77.048024
Sector 50,28.417787,77.062765
Sector 51,28.43204,77.068616
Sector 52,28.437909,77.078548
Sector 53,28.443313,77.094751
Sector 54,28.434817,77.108941
Sector 55,28.428117,77.110012
Sector 56,28.42446,77.099124
Sector 57,28.423199,77.075211
Sector 58,28.420014,77.110543
Sector 59,28.405091,77.109683
Sector 60,28.400332,77.097455
Sector 61,28.405044,77.096269
Sector 62,28.413909,77.088594
Sector 63,28.397145,77.086665
Sector 65,28.403042,77.069005
Sector 66,28.392486,77.054091
Sector 67,28.385882,77.060773
Sector 67a,28.380245,77.067367
Sector 68,28.385295,77.048355
Sector 69,28.396598,77.034108
Sector 70,28.396795,77.023342
Sector 70a,28.38453,77.022622
Sector 71,28.410369,77.028145
Sector 72,28.422519,77.021138
Sector 73,28.407162,77.011825
Sector 74,28.41577,77.011825
Sector 76,28.39346,76.988788
Sector 77,28.380129,76.984468
Sector 78,28.373276,76.972947
Sector 79,28.362355,76.978708
Sector 80,28.365864,76.955664
Sector 81,28.386686,76.948462
Sector 82a,28.385771,76.968627
Sector 82,28.393542,76.959985
Sector 83,28.398567,76.964691
Sector 84,28.397868,76.973574
Sector 85,28.40418,76.951343
Sector 86,28.398619,76.938379
Sector 88,28.421951,76.957105
Sector 88a,28.43472,76.955664
Sector 89,28.425343,76.943893
Sector 90,28.40852,76.936938
Sector 91,28.401383,76.922532
Sector 92,28.407854,76.915328
Sector 93,28.415272,76.932617
Sector 95,28.417193,76.908124
Sector 99,28.463961,76.961426
Sector 102,28.474976,76.971507
Sector 103,28.494873,76.984468
Sector 104,28.478782,76.995987
Sector 105,28.495185,77.011403
Sector 106,28.500709,77.000307
Sector 107,28.505226,76.972947
Sector 108,28.513372,76.983028
Sector 109,28.50728,77.008945
Sector 110,28.514493,77.019733
Sector 111,28.523845,77.031978
Sector 112,28.528188,77.017583
Sector 113,28.528745,77.023342
dwarka expressway,28.483516,76.989677
gwal pahari,28.43378,77.146832
manesar,28.351538,76.942777
sohna road,28.375982,77.055819
